Регион,Год,Заболеваемость_инфекции_на_1000,Коэффициент_смертности_населения,Численность_населения,Оборотная_вода_млн_м3
Приморский край,2007,43.1,14.7,1977.4,1806.0
Хабаровский край,2007,43.1,14.7,1354.9,1296.0
Амурская область,2007,40.8,14.7,844.3,774.0
Магаданская область,2007,63.6,13.3,164.0,329.0
Сахалинская область,2007,50.2,14.4,509.4,281.0
Еврейская автономная область,2007,47.6,15.6,178.7,9.0
Чукотский автономный округ,2007,41.0,11.3,52.8,168.0
Белгородская область,2008,46.7,14.7,1526.3,1533.0
Брянская область,2008,30.1,17.8,1294.3,113.0
Владимирская область,2008,45.4,18.5,1457.9,316.0
Воронежская область,2008,21.3,17.2,2339.0,3508.0
Ивановская область,2008,25.9,19.3,1074.3,257.0
Калужская область,2008,28.0,17.1,1015.6,144.0
Костромская область,2008,27.4,18.4,677.8,341.0
Курская область,2008,30.6,18.5,1143.3,5247.0
Липецкая область,2008,30.3,16.9,1182.0,2032.0
Московская область,2008,27.4,16.1,6958.0,3576.0
Орловская область,2008,30.6,17.6,798.9,369.0
Рязанская область,2008,44.4,18.4,1167.9,2681.0
Смоленская область,2008,31.3,19.2,1000.7,5187.0
Тамбовская область,2008,21.5,17.6,1107.8,233.0
Тверская область,2008,36.6,20.6,1375.4,4579.0
Тульская область,2008,31.2,20.1,1576.4,3058.0
Ярославская область,2008,42.2,17.7,1286.1,613.0
г. Москва,2008,28.6,11.1,11281.6,5797.0
Республика Карелия,2008,49.8,17,653.7,1056.0
Республика Коми,2008,51.5,13.2,922.3,1460.0
Архангельская область,2008,48.8,14.8,1246.2,875.0
Ненецкий автономный округ,2008,67.9,12.8,41.8,7.0
Вологодская область,2008,43.5,16.4,1214.2,3655.0
Калининградская область,2008,41.3,15.3,936.6,255.0
Ленинградская область,2008,24.1,17.3,1698.9,1358.0
Мурманская область,2008,39.9,12.5,805.6,1053.0
Новгородская область,2008,33.3,20.9,645.4,572.0
Псковская область,2008,24.7,21.8,690.3,6.0
г. Санкт-Петербург,2008,47.0,14,4798.7,806.0
Республика Адыгея (Адыгея),2008,24.0,15,439.4,29.0
Республика Калмыкия,2008,23.6,10.2,290.3,0.9
Краснодарский край,2008,24.7,14.1,5194.4,1216.0
Астраханская область,2008,29.9,13.5,1009.9,265.0
Волгоградская область,2008,36.9,14.4,2618.1,1716.0
Ростовская область,2008,23.7,14.9,4292.5,2280.0
Республика Дагестан,2008,43.6,5.6,2826.5,20.0
Республика Ингушетия,2008,42.2,3.8,409.2,26.0
Кабардино-Балкарская Республика,2008,12.9,9.4,858.1,13.0
Карачаево-Черкесская Республика,2008,26.4,10.1,470.1,61.0
Республика Северная Осетия — Алания,2008,22.5,11.2,711.7,39.0
Чеченская Республика,2008,28.3,4.5,1224.4,0.0
Ставропольский край,2008,21.7,13.1,2767.6,938.0
Республика Башкортостан,2008,34.7,13.7,4059.4,5185.0
Республика Марий Эл,2008,39.8,15.2,701.6,214.0
Республика Мордовия,2008,36.6,15.5,845.0,272.0
Республика Татарстан (Татарстан),2008,36.3,13,3773.5,5399.0
Удмуртская Республика,2008,49.1,14,1528.2,422.0
Чувашская Республика — Чувашия,2008,47.7,14.6,1258.2,440.0
Пермский край,2008,54.8,15.8,2660.4,2178.0
Кировская область,2008,37.8,17.5,1365.0,1084.0
Нижегородская область,2008,29.7,18.2,3343.7,1547.0
Оренбургская область,2008,37.7,15.1,2044.3,1755.0
Пензенская область,2008,32.3,16.1,1398.1,84.0
Самарская область,2008,38.5,15,3221.5,3798.0
Саратовская область,2008,27.5,15.4,2545.3,7593.0
Ульяновская область,2008,47.5,15.2,1308.7,919.0
Курганская область,2008,40.2,16.7,925.2,396.0
Свердловская область,2008,37.4,15,4314.3,12754.0
Тюменская область,2008,49.6,9.2,3351.7,10572.0
Ханты-Мансийский автономный округ — Югра,2008,52.2,6.8,1504.3,9218.0
Ямало-Ненецкий автономный округ,2008,51.7,5.7,523.0,63.0
Челябинская область,2008,50.0,15.1,3484.8,9126.0
Республика Алтай,2008,44.5,12.5,204.7,15.0
Республика Тыва,2008,41.4,11.6,305.3,16.0
Республика Хакасия,2008,48.2,14,531.9,343.0
Алтайский край,2008,38.2,15.3,2438.9,1020.0
Красноярский край,2008,38.5,13.8,2832.6,3436.0
Иркутская область,2008,48.1,14.4,2448.3,2290.0
Кемеровская область — Кузбасс,2008,41.3,16.6,2776.4,5038.0
Новосибирская область,2008,41.8,14.5,2648.9,947.0
Омская область,2008,67.9,14.5,1987.7,1288.0
Томская область,2008,35.8,13,1031.5,878.0
Республика Бурятия,2008,24.6,13.4,966.6,322.0
Республика Саха (Якутия),2008,29.6,10,958.1,1093.0
Забайкальский край,2008,31.5,14.4,1109.2,903.0
Камчатский край,2008,47.4,12,325.2,26.0
Приморский край,2008,49.9,14.7,1969.6,1868.0
Хабаровский край,2008,40.3,14.5,1351.1,1401.0
Амурская область,2008,39.7,15.6,838.9,759.0
Магаданская область,2008,61.4,13.9,160.9,354.0
Сахалинская область,2008,53.1,14.7,504.9,300.0
Еврейская автономная область,2008,44.9,15.9,178.1,9.0
Чукотский автономный округ,2008,34.1,11.8,52.1,172.0
Белгородская область,2009,44.9,14.4,1531.8,1421.0
Брянская область,2009,25.4,17,1286.5,61.0
Владимирская область,2009,44.7,18.2,1449.8,318.0
Воронежская область,2009,20.8,16.5,2334.9,3288.0
Ивановская область,2009,24.8,18.6,1067.8,244.0
Калужская область,2009,32.9,16.5,1015.0,141.0
Костромская область,2009,32.5,17.6,672.9,232.0
Курская область,2009,26.5,17.8,1135.0,5604.0
Липецкая область,2009,29.4,16.2,1177.0,2078.0
Московская область,2009,26.1,15.3,7024.2,3376.0
Орловская область,2009,27.5,17,793.1,366.0
Рязанская область,2009,42.5,17.7,1161.8,1804.0
Смоленская область,2009,27.5,18.7,993.0,5143.0
Тамбовская область,2009,20.7,17.1,1099.7,233.0
Тверская область,2009,36.1,19.9,1365.3,4499.0
Тульская область,2009,28.9,19.1,1564.7,2628.0
Ярославская область,2009,36.8,16.9,1280.1,519.0
г. Москва,2009,27.5,10.6,11382.2,5088.0
Республика Карелия,2009,47.8,16.3,648.7,1049.0
Республика Коми,2009,56.0,13.3,912.0,1430.0
Архангельская область,2009,48.2,14.5,1237.5,753.0
Ненецкий автономный округ,2009,74.6,11.8,42.1,8.0
Вологодская область,2009,38.0,16.3,1208.3,3433.0
Калининградская область,2009,43.8,14.6,938.6,252.0
Ленинградская область,2009,22.1,16.3,1704.9,1411.0
Мурманская область,2009,37.3,12.5,799.8,960.0
Новгородская область,2009,33.8,20.4,639.7,547.0
Псковская область,2009,59.5,21.1,681.9,6.0
г. Санкт-Петербург,2009,42.1,13.5,4832.8,793.0
Республика Адыгея (Адыгея),2009,22.3,14.1,439.8,29.0
Республика Калмыкия,2009,27.1,10.7,289.7,0.9
Краснодарский край,2009,22.0,13.5,5214.2,1193.0
Астраханская область,2009,28.8,13.3,1011.1,271.0
Волгоградская область,2009,32.6,14.4,2614.1,1567.0
Ростовская область,2009,23.0,14.5,4284.8,2270.0
Республика Дагестан,2009,41.9,5.9,2868.8,20.0
Республика Ингушетия,2009,47.6,4.6,411.7,0.2
Кабардино-Балкарская Республика,2009,11.8,9.8,859.6,11.0
Карачаево-Черкесская Республика,2009,27.9,10,473.8,60.0
Республика Северная Осетия — Алания,2009,24.7,11.2,711.7,31.0
Чеченская Республика,2009,27.9,5.4,1249.9,0.0
Ставропольский край,2009,21.2,12.9,2777.7,914.0
Республика Башкортостан,2009,33.1,13.1,4068.5,5013.0
Республика Марий Эл,2009,37.6,14.9,699.4,182.0
Республика Мордовия,2009,35.9,15.5,839.2,270.0
Республика Татарстан (Татарстан),2009,35.5,12.7,3784.5,5268.0
Удмуртская Республика,2009,47.0,13.2,1525.1,410.0
Чувашская Республика — Чувашия,2009,42.4,13.9,1255.9,416.0
Пермский край,2009,49.5,15.3,2648.7,2027.0
Кировская область,2009,37.9,17.1,1352.7,1061.0
Нижегородская область,2009,30.8,17.4,3326.8,1560.0
Оренбургская область,2009,34.9,14.3,2042.0,1773.0
Пензенская область,2009,29.1,15.6,1392.4,81.0
Самарская область,2009,37.1,14.6,3220.9,3428.0
Саратовская область,2009,28.0,15.2,2535.4,7472.0
Ульяновская область,2009,50.3,14.9,1301.7,818.0
Курганская область,2009,35.7,16.2,918.6,379.0
Свердловская область,2009,34.9,14.6,4308.5,12141.0
Тюменская область,2009,44.7,9,3378.8,10538.0
Ханты-Мансийский автономный округ — Югра,2009,48.1,6.7,1521.2,9245.0
Ямало-Ненецкий автономный округ,2009,50.1,5.6,524.1,67.0
Челябинская область,2009,49.2,14.4,3481.8,8428.0
