Регион,Год,Заболеваемость_инфекции_на_1000,Коэффициент_смертности_населения,Численность_населения,Оборотная_вода_млн_м3
Свердловская область,2015,31.1,14.1,4329.7,10638.03
Тюменская область,2015,32.5,8.3,3623.5,9914.63
Ханты-Мансийский автономный округ — Югра,2015,36.0,6.4,1632.0,8600.9
Ямало-Ненецкий автономный округ,2015,33.2,5.4,514.3,309.18
Челябинская область,2015,37.2,13.9,3502.0,8251.25
Республика Алтай,2015,35.2,11.2,210.1,6.26
Республика Тыва,2015,41.1,10.3,317.2,22.53
Республика Хакасия,2015,39.1,13.4,538.9,540.85
Алтайский край,2015,31.0,14.4,2325.0,908.24
Красноярский край,2015,30.8,12.6,2869.7,3224.23
Иркутская область,2015,37.9,13.6,2415.7,2581.15
Кемеровская область — Кузбасс,2015,31.7,14.5,2711.9,4894.92
Новосибирская область,2015,26.4,13.0,2770.0,881.37
Омская область,2015,37.3,13.4,1965.5,1313.31
Томская область,2015,32.2,11.6,1074.3,745.24
Республика Бурятия,2015,19.0,11.4,980.1,292.79
Республика Саха (Якутия),2015,26.6,8.5,962.5,1246.28
Забайкальский край,2015,20.7,13.1,1063.9,1093.57
Камчатский край,2015,33.7,11.8,306.8,9.44
Приморский край,2015,31.7,13.5,1918.5,2121.48
Хабаровский край,2015,33.2,13.4,1331.0,1602.65
Амурская область,2015,30.6,13.9,801.5,810.9
Магаданская область,2015,43.0,11.9,145.5,431.71
Сахалинская область,2015,36.9,13.5,477.5,187.36
Еврейская автономная область,2015,42.9,15.6,163.9,7.87
Чукотский автономный округ,2015,23.4,9.687,49.2,162.1
Белгородская область,2016,46.0,13.9,1555.5,1889.67
Брянская область,2016,26.5,15.6,1218.0,28.5
Владимирская область,2016,36.7,16.4,1399.8,250.89
Воронежская область,2016,14.4,15.2,2343.4,4301.93
Ивановская область,2016,25.6,16.5,993.8,234.23
Калужская область,2016,20.7,14.6,1047.4,74.22
Костромская область,2016,26.3,16.2,624.5,394.62
Курская область,2016,22.2,16.1,1120.0,5878.35
Липецкая область,2016,26.1,15.0,1169.5,2217.45
Московская область,2016,20.7,12.1,7960.0,3120.57
Орловская область,2016,27.7,16.5,752.6,571.87
Рязанская область,2016,29.0,15.9,1134.0,1020.75
Смоленская область,2016,25.9,16.4,940.6,4872.56
Тамбовская область,2016,18.1,15.9,1039.7,220.57
Тверская область,2016,29.7,17.7,1294.5,6354.23
Тульская область,2016,22.6,16.6,1534.5,2118.18
Ярославская область,2016,29.9,15.9,1258.9,153.25
г. Москва,2016,21.1,10.0,12480.2,4077.04
Республика Карелия,2016,44.9,15.8,585.8,1079.11
Республика Коми,2016,47.7,12.9,811.5,1430.57
Архангельская область,2016,42.6,14.1,1110.6,842.13
Ненецкий автономный округ,2016,57.5,9.2,42.3,19.39
Вологодская область,2016,35.3,15.0,1183.3,3956.21
Калининградская область,2016,40.1,12.5,987.9,483.64
Ленинградская область,2016,19.4,13.6,1841.9,1043.11
Мурманская область,2016,38.2,12.0,724.1,1021.66
Новгородская область,2016,24.1,17.5,610.0,889.88
Псковская область,2016,26.9,18.2,632.8,3.18
г. Санкт-Петербург,2016,38.4,11.5,5405.4,726.77
Республика Адыгея (Адыгея),2016,19.6,12.5,469.90000000000003,27.62
Республика Калмыкия,2016,27.1,9.8,276.9,0.09
Краснодарский край,2016,17.6,12.7,5650.2,1776.64
Астраханская область,2016,19.5,12.2,1001.5,492.67
Волгоградская область,2016,22.4,13.6,2558.5,1340.13
Ростовская область,2016,17.9,13.8,4252.7,5161.61
Республика Дагестан,2016,29.9,5.2,3061.3,17.7
Республика Ингушетия,2016,28.0,3.3,473.6,0.0
Кабардино-Балкарская Республика,2016,10.2,8.4,883.9,15.2
Карачаево-Черкесская Республика,2016,22.4,9.5,469.3,26.18
Республика Северная Осетия — Алания,2016,35.3,10.4,702.6,21.13
Чеченская Республика,2016,13.4,4.7,1415.0,0.05
Ставропольский край,2016,18.4,11.5,2872.1,837.81
Республика Башкортостан,2016,25.3,12.7,4118.8,5200.23
Республика Марий Эл,2016,34.0,13.2,687.4,213.18
Республика Мордовия,2016,20.6,14.0,814.4,190.66
Республика Татарстан (Татарстан),2016,28.6,11.4,3946.7,5251.51
Удмуртская Республика,2016,42.2,12.8,1497.2,359.37
Чувашская Республика — Чувашия,2016,31.7,13.3,1226.8,437.95
Пермский край,2016,35.4,13.9,2615.9,1613.49
Кировская область,2016,27.6,15.4,1243.5,1018.3
Нижегородская область,2016,29.7,15.5,3228.5,1665.81
Оренбургская область,2016,31.5,13.8,1948.8,1713.09
Пензенская область,2016,23.2,14.6,1334.3,77.32
Самарская область,2016,35.0,13.8,3221.5,2848.72
Саратовская область,2016,22.0,13.8,2516.6,7574.12
Ульяновская область,2016,32.8,14.8,1246.0,873.83
Курганская область,2016,48.3,16.2,836.0,277.42
Свердловская область,2016,29.5,14.1,4328.9,9311.91
Тюменская область,2016,34.8,8.2,3669.9,9582.48
Ханты-Мансийский автономный округ — Югра,2016,38.8,6.2,1652.4,8379.06
Ямало-Ненецкий автономный округ,2016,38.8,5.5,512.5,326.15
Челябинская область,2016,36.5,13.6,3503.9,8119.21
Республика Алтай,2016,37.1,10.2,211.0,8.28
Республика Тыва,2016,48.2,9.8,320.4,22.97
Республика Хакасия,2016,34.9,12.8,540.1,573.74
Алтайский край,2016,32.0,14.4,2303.6,868.36
Красноярский край,2016,30.1,12.5,2879.2,2987.19
Иркутская область,2016,38.9,13.4,2412.4,2307.53
Кемеровская область — Кузбасс,2016,32.2,14.4,2702.0,4890.7
Новосибирская область,2016,25.8,13.0,2788.9,867.94
Омская область,2016,35.2,13.3,1957.1,1345.08
Томская область,2016,33.4,11.4,1075.9,764.34
Республика Бурятия,2016,16.2,11.3,981.6,279.92
Республика Саха (Якутия),2016,28.1,8.4,966.3,1290.43
Забайкальский край,2016,17.7,12.6,1056.0,1062.24
Камчатский край,2016,33.3,11.9,303.5,14.81
Приморский край,2016,33.3,13.7,1910.4,1838.33
Хабаровский край,2016,33.6,13.2,1329.1,1529.17
Амурская область,2016,32.3,13.8,796.8,817.64
Магаданская область,2016,46.2,11.5,144.6,436.04
Сахалинская область,2016,36.5,13.4,476.6,192.6
Еврейская автономная область,2016,44.2,15.4,161.6,9.59
Чукотский автономный округ,2016,34.2,10.183,48.6,172.21
Белгородская область,2017,42.6,13.5,1553.0,1918.32
Брянская область,2017,25.5,15.3,1208.2,27.48
Владимирская область,2017,33.6,15.6,1390.2,233.82
Воронежская область,2017,13.6,14.6,2343.1,3943.48
Ивановская область,2017,22.2,16.4,980.6,240.7
Калужская область,2017,24.7,14.3,1050.5,162.94
Костромская область,2017,24.3,15.5,615.7,204.49
Курская область,2017,19.4,15.6,1111.8,6114.86
Липецкая область,2017,23.2,14.5,1165.8,2165.56
Московская область,2017,20.0,11.5,8088.3,2583.6
Орловская область,2017,30.1,15.8,744.7,2698.03
Рязанская область,2017,30.0,15.2,1129.9,922.45
Смоленская область,2017,24.0,15.8,934.8,4900.03
Тамбовская область,2017,17.7,15.1,1033.0,220.62
Тверская область,2017,31.9,16.9,1281.2,7108.09
Тульская область,2017,21.0,16.1,1532.9,2158.82
Ярославская область,2017,28.3,15.3,1251.9,152.18
г. Москва,2017,20.6,9.5,12662.6,4457.85
Республика Карелия,2017,45.5,15.8,571.8,1046.44
Республика Коми,2017,52.8,12.4,795.8,844.55
Архангельская область,2017,44.5,13.7,1091.1,909.69
Ненецкий автономный округ,2017,52.4,9.0,42.0,24.04
Вологодская область,2017,38.8,14.4,1176.0,3885.1
Калининградская область,2017,33.0,12.5,996.5,485.96
Ленинградская область,2017,22.3,12.9,1871.4,1347.14
Мурманская область,2017,34.0,11.6,714.7,1033.52
Новгородская область,2017,26.1,17.2,603.7,927.49
Псковская область,2017,28.6,17.7,625.8,3.14
г. Санкт-Петербург,2017,40.3,11.1,5494.8,751.76
Республика Адыгея (Адыгея),2017,20.9,12.1,472.6,27.64
Республика Калмыкия,2017,22.1,9.9,274.5,0.09
Краснодарский край,2017,18.7,12.3,5695.9,1982.22
Астраханская область,2017,17.6,11.6,997.4,492.38
Волгоградская область,2017,25.0,13.0,2548.5,1286.81
Ростовская область,2017,14.3,13.3,4245.3,4991.7
Республика Дагестан,2017,21.7,5.0,3086.6,17.62
Республика Ингушетия,2017,27.2,3.3,480.1,0.0
Кабардино-Балкарская Республика,2017,8.9,8.3,888.5,14.71
Карачаево-Черкесская Республика,2017,17.6,9.1,469.9,25.85
Республика Северная Осетия — Алания,2017,35.1,10.3,700.7,23.46
Чеченская Республика,2017,13.3,4.6,1436.7,4.07
Ставропольский край,2017,22.4,10.9,2879.5,822.76
Республика Башкортостан,2017,22.8,12.2,4122.7,5098.98
Республика Марий Эл,2017,32.8,12.4,685.4,228.89
Республика Мордовия,2017,23.8,13.4,811.8,177.73
Республика Татарстан (Татарстан),2017,27.4,11.1,3966.8,5347.77
Удмуртская Республика,2017,44.8,12.1,1490.1,338.67
Чувашская Республика — Чувашия,2017,31.7,12.7,1221.6,436.51
Пермский край,2017,33.0,13.4,2604.4,1868.02
Кировская область,2017,27.7,15.1,1227.9,952.53
Нижегородская область,2017,23.5,14.8,3212.5,1505.77
Оренбургская область,2017,30.4,13.6,1930.5,1731.2
Пензенская область,2017,25.1,14.2,1323.2,76.8
Самарская область,2017,34.3,13.6,3214.3,3465.88
Саратовская область,2017,21.9,13.4,2506.6,7374.28
Ульяновская область,2017,34.0,14.1,1238.7,662.24
Курганская область,2017,43.9,15.6,824.4,282.08
Свердловская область,2017,28.6,13.3,4324.8,9321.55
Тюменская область,2017,34.4,7.8,3704.6,9282.07
Ханты-Мансийский автономный округ — Югра,2017,36.4,6.2,1662.5,7817.53
Ямало-Ненецкий автономный округ,2017,45.6,5.1,511.2,296.24
Челябинская область,2017,34.2,13.0,3494.8,6792.21
Республика Алтай,2017,41.0,10.0,211.1,9.4
Республика Тыва,2017,45.8,8.6,323.9,12.42
Республика Хакасия,2017,42.5,12.5,540.5,585.16
Алтайский край,2017,30.3,14.4,2277.7,814.78
Красноярский край,2017,29.3,12.3,2881.0,2860.14
Иркутская область,2017,38.9,12.9,2408.2,2474.96
Кемеровская область — Кузбасс,2017,36.4,14.2,2687.0,4895.42
Новосибирская область,2017,25.8,12.8,2799.7,849.79
Омская область,2017,33.2,13.0,1942.0,1271.37
Томская область,2017,32.5,11.4,1074.8,790.09
Республика Бурятия,2017,17.1,10.7,981.3,300.97
Республика Саха (Якутия),2017,26.8,8.1,968.1,1252.74
Забайкальский край,2017,20.6,12.0,1046.0,1005.65
Камчатский край,2017,41.5,11.4,302.5,15.3
Приморский край,2017,32.0,13.4,1898.5,1837.09
Хабаровский край,2017,35.9,13.0,1323.6,1581.85
Амурская область,2017,29.8,13.4,792.7,945.89
Магаданская область,2017,27.6,11.5,142.9,443.52
Сахалинская область,2017,39.1,12.3,478.3,190.36
Еврейская автономная область,2017,43.2,13.5,159.1,13.33
Чукотский автономный округ,2017,34.8,9.666,48.0,183.84
Белгородская область,2018,47.5,13.5,1550.9,1851.84
Брянская область,2018,25.9,15.2,1197.1000000000001,28.5
Владимирская область,2018,31.8,15.9,1379.4,259.43
Воронежская область,2018,12.6,14.6,2338.6,3521.13
Ивановская область,2018,21.3,16.7,965.3,213.58
Калужская область,2018,22.5,14.3,1053.4,175.09
Костромская область,2018,20.2,15.6,605.7,205.75
Курская область,2018,18.8,15.5,1103.2,5783.56
Липецкая область,2018,22.2,14.3,1162.0,2223.26
Московская область,2018,21.2,11.3,8233.2,2487.19
Орловская область,2018,33.3,15.9,736.5,3390.97
Рязанская область,2018,26.9,15.3,1123.8,701.36
Смоленская область,2018,24.9,15.8,925.7,4175.09
Тамбовская область,2018,18.9,15.6,1015.3,216.74
Тверская область,2018,33.9,16.9,1266.6,7173.24
Тульская область,2018,18.1,15.7,1525.8,1937.11
Ярославская область,2018,29.5,15.1,1243.8,154.54
г. Москва,2018,21.1,9.6,12827.7,4365.1
Республика Карелия,2018,50.5,16.2,559.4,1110.59
Республика Коми,2018,55.3,12.6,779.1,825.17
Архангельская область,2018,42.3,13.9,1071.6,912.11
Ненецкий автономный округ,2018,49.8,9.4,41.6,15.65
Вологодская область,2018,34.7,14.4,1166.9,3944.02
Калининградская область,2018,35.6,12.2,1004.5,487.04
Ленинградская область,2018,20.4,12.5,1913.5,1989.17
Мурманская область,2018,32.4,11.9,704.0,1053.68
Новгородская область,2018,24.8,16.8,597.0,948.07
Псковская область,2018,26.2,17.5,617.5,3.15
г. Санкт-Петербург,2018,36.9,10.8,5546.4,707.14
Республика Адыгея (Адыгея),2018,20.0,11.8,476.6,27.64
Республика Калмыкия,2018,21.9,9.7,271.7,0.09
Краснодарский край,2018,17.7,11.8,5753.799999999999,1485.32
Астраханская область,2018,18.1,11.8,991.1,492.2
Волгоградская область,2018,24.1,13.2,2538.7,1347.17
Ростовская область,2018,16.0,13.4,4230.6,6159.3
Республика Дагестан,2018,26.2,4.8,3113.0,17.74
Республика Ингушетия,2018,26.4,3.2,488.2,0.0
Кабардино-Балкарская Республика,2018,8.7,8.0,892.1,12.99
Карачаево-Черкесская Республика,2018,18.2,8.9,469.9,25.74
Республика Северная Осетия — Алания,2018,22.4,10.3,697.8,23.46
Чеченская Республика,2018,9.5,4.4,1456.4,0.19
Ставропольский край,2018,24.6,11.1,2884.9,832.68
Республика Башкортостан,2018,23.2,12.2,4118.0,5046.97
Республика Марий Эл,2018,26.8,12.6,683.9,225.13
Республика Мордовия,2018,23.6,13.3,803.3,181.98
Республика Татарстан (Татарстан),2018,26.9,11.2,3981.9,5569.33
Удмуртская Республика,2018,39.0,12.2,1481.3,452.62
Чувашская Республика — Чувашия,2018,32.2,12.7,1212.5,405.31
Пермский край,2018,32.7,13.6,2589.2,2090.76
Кировская область,2018,27.4,15.6,1209.6,1101.19
Нижегородская область,2018,24.4,15.1,3189.1,1459.96
Оренбургская область,2018,32.5,13.6,1909.9,1739.24
Пензенская область,2018,27.9,14.6,1308.1,73.37
Самарская область,2018,32.9,13.4,3206.8,3597.54
Саратовская область,2018,21.6,13.6,2490.8,7268.07
Ульяновская область,2018,34.7,14.3,1229.4,839.95
Курганская область,2018,45.2,15.9,810.5,279.92
Свердловская область,2018,30.5,13.5,4315.2,9425.71
Тюменская область,2018,34.6,7.9,3738.5,9148.21
Ханты-Мансийский автономный округ — Югра,2018,37.9,6.2,1672.3,7517.68
Ямало-Ненецкий автономный округ,2018,38.9,5.0,510.6,276.11
Челябинская область,2018,34.5,13.2,3477.9,7983.32
Республика Алтай,2018,41.2,10.4,210.9,20.54
Республика Тыва,2018,46.2,8.8,326.9,11.83
Республика Хакасия,2018,37.9,12.3,539.7,577.54
Алтайский край,2018,29.7,14.7,2250.1,816.65
Красноярский край,2018,28.0,12.4,2879.2,2807.51
Иркутская область,2018,38.1,13.0,2402.4,2704.37
Кемеровская область — Кузбасс,2018,31.2,14.5,2665.3,4789.56
Новосибирская область,2018,29.2,12.9,2805.8,763.71
Омская область,2018,26.9,13.0,1923.6,1223.65
Томская область,2018,29.6,11.1,1073.4,774.53
Республика Бурятия,2018,14.2,10.8,979.5,333.36
Республика Саха (Якутия),2018,29.0,7.8,971.4,1299.97
Забайкальский край,2018,19.2,12.6,1035.1,1144.74
Камчатский край,2018,37.7,11.8,299.9,10.66
Приморский край,2018,32.0,13.6,1886.3,1972.58
Хабаровский край,2018,34.5,12.9,1316.7,1549.96
Амурская область,2018,29.8,13.5,786.6,1033.0
Магаданская область,2018,17.8,11.5,139.9,465.75
Сахалинская область,2018,35.1,13.0,476.2,167.6
Еврейская автономная область,2018,43.1,13.9,156.7,13.49
Чукотский автономный округ,2018,26.1,11.385,48.1,155.46
Белгородская область,2019,25.3,13.3,1553.0,1775.85
Брянская область,2019,24.2,14.8,1189.2,27.75
Владимирская область,2019,27.0,15.4,1373.7,254.16
Воронежская область,2019,12.9,14.1,2336.3,4422.56
Ивановская область,2019,21.2,16.5,953.6,177.75
Калужская область,2019,25.6,13.9,1052.2,166.84
Костромская область,2019,25.1,15.5,598.0,586.27
Курская область,2019,22.9,15.0,1099.6,5356.65
Липецкая область,2019,22.7,14.0,1159.7,2181.41
Московская область,2019,19.8,11.0,8372.9,2326.12
Орловская область,2019,33.6,15.4,730.2,1989.44
Рязанская область,2019,26.9,15.0,1119.8,714.36
Смоленская область,2019,22.3,15.4,916.2,4370.13
Тамбовская область,2019,17.8,15.0,1005.8,178.35
Тверская область,2019,32.7,16.3,1257.0,6618.53
Тульская область,2019,19.2,15.3,1519.0,2259.82
Ярославская область,2019,29.2,14.9,1235.6,148.98
г. Москва,2019,22.1,9.3,12946.6,4715.23
Республика Карелия,2019,56.6,15.8,550.7,1121.95
Республика Коми,2019,53.0,12.8,763.4,1412.36
Архангельская область,2019,43.2,13.9,1055.5,866.23
Ненецкий автономный округ,2019,61.9,9.1,41.6,14.36
Вологодская область,2019,37.3,14.1,1159.6,4021.01
Калининградская область,2019,36.0,11.8,1015.3,484.97
Ленинградская область,2019,21.7,12.1,1950.9,2418.38
Мурманская область,2019,39.6,12.1,692.2,1062.82
Новгородская область,2019,25.9,16.5,592.8,1008.71
Псковская область,2019,27.5,17.2,612.5,3.01
г. Санкт-Петербург,2019,37.8,10.6,5580.8,738.64
Республика Адыгея (Адыгея),2019,17.7,11.7,487.5,27.64
Республика Калмыкия,2019,19.8,9.5,270.2,0.19
Краснодарский край,2019,18.2,12.1,5794.1,1887.65
Астраханская область,2019,15.5,11.6,979.9,358.5
Волгоградская область,2019,22.9,12.9,2526.2,1341.67
Ростовская область,2019,13.3,13.2,4229.5,6606.3
Республика Дагестан,2019,26.4,4.8,3140.9,12.63
Республика Ингушетия,2019,20.0,3.1,496.7,0.0
Кабардино-Балкарская Республика,2019,8.5,8.1,897.4,14.32
Карачаево-Черкесская Республика,2019,24.2,9.0,470.40000000000003,25.72
Республика Северная Осетия — Алания,2019,21.8,10.4,694.9,0.11
Чеченская Республика,2019,10.5,4.4,1477.7,0.19
Ставропольский край,2019,25.5,10.9,2904.1,864.25
Республика Башкортостан,2019,22.8,11.9,4112.900000000001,5272.13
Республика Марий Эл,2019,27.2,12.0,683.5,220.66
Республика Мордовия,2019,20.1,13.1,799.0,169.0
Республика Татарстан (Татарстан),2019,26.2,10.7,3996.4,5661.01
Удмуртская Республика,2019,41.7,12.1,1471.6,429.2
Чувашская Республика — Чувашия,2019,29.1,12.6,1206.0,381.23
Пермский край,2019,35.2,13.3,2574.7,1992.3
Кировская область,2019,32.3,15.1,1192.5,1102.45
Нижегородская область,2019,26.0,14.7,3174.2,2269.39
Оренбургская область,2019,19.5,13.4,1898.4,1940.96
Пензенская область,2019,24.5,14.1,1294.5,77.2
Самарская область,2019,33.9,13.1,3206.2,3587.48
Саратовская область,2019,22.1,13.4,2478.1,6837.17
Ульяновская область,2019,29.4,13.9,1219.7,629.85
Курганская область,2019,39.9,15.7,800.0,291.95
Свердловская область,2019,30.0,13.3,4310.1,9954.27
Тюменская область,2019,34.2,7.7,3773.2,9922.78
Ханты-Мансийский автономный округ — Югра,2019,37.5,6.0,1684.2,8108.25
Ямало-Ненецкий автономный округ,2019,43.9,5.0,510.1,337.72
Челябинская область,2019,33.2,13.1,3468.8,7856.3
Республика Алтай,2019,44.3,10.5,211.3,16.28
Республика Тыва,2019,50.7,8.2,330.0,11.28
Республика Хакасия,2019,35.0,12.4,538.2,586.56
Алтайский край,2019,30.7,14.6,2224.1,812.84
Красноярский край,2019,27.7,12.2,2872.1,2892.25
Иркутская область,2019,33.3,13.2,2396.4,2635.83
Кемеровская область — Кузбасс,2019,31.2,14.3,2647.7,4956.01
Новосибирская область,2019,27.4,12.7,2812.2,754.0
Омская область,2019,30.2,12.8,1903.6,702.39
Томская область,2019,29.5,11.3,1074.7,847.59
Республика Бурятия,2019,15.3,11.1,982.1,303.21
Республика Саха (Якутия),2019,26.2,7.8,976.7,1265.89
Забайкальский край,2019,18.5,12.8,1025.1,897.3
Камчатский край,2019,38.3,11.6,296.4,10.32
Приморский край,2019,35.4,13.7,1877.7,1978.7
Хабаровский край,2019,31.9,13.4,1310.4,1527.13
Амурская область,2019,30.7,14.2,782.7,1776.71
Магаданская область,2019,35.3,11.7,138.6,424.56
Сахалинская область,2019,36.6,12.9,473.7,177.76
Еврейская автономная область,2019,38.9,14.5,154.7,18.47
Чукотский автономный округ,2019,40.2,9.395,48.5,171.42
Белгородская область,2020,22.6,15.5,1545.5,1814.76
Брянская область,2020,20.6,17.0,1179.1,24.79
Владимирская область,2020,19.7,18.1,1359.0,233.38
Воронежская область,2020,9.4,16.4,2319.1,5178.0
Ивановская область,2020,16.3,18.6,938.8,153.79
Калужская область,2020,21.1,16.4,1056.0,163.42
Костромская область,2020,19.2,17.7,589.2,607.86
Курская область,2020,14.3,17.7,1091.6,5810.54
Липецкая область,2020,18.9,17.5,1150.6,2190.0
Московская область,2020,17.5,13.3,8436.9,1988.03
Орловская область,2020,25.5,18.5,721.0,1587.15
Рязанская область,2020,25.0,17.9,1110.4,740.59
Смоленская область,2020,17.2,17.5,900.3,4753.22
Тамбовская область,2020,15.8,17.9,993.0,181.14
Тверская область,2020,22.7,18.6,1241.8,5461.54
Тульская область,2020,14.4,18.0,1507.6,2181.28
Ярославская область,2020,18.6,17.5,1221.7,302.74
г. Москва,2020,16.9,11.6,12979.4,4561.53
Республика Карелия,2020,50.8,18.6,541.5,1080.07
Республика Коми,2020,37.0,14.6,750.4,1326.93
Архангельская область,2020,36.0,15.9,1037.3,936.42
Ненецкий автономный округ,2020,39.6,10.8,41.6,14.54
Вологодская область,2020,27.9,15.7,1150.1,4808.79
Калининградская область,2020,26.4,13.2,1021.6,485.07
Ленинградская область,2020,15.2,14.3,1977.3,2717.73
Мурманская область,2020,25.4,14.5,678.6,1058.9
Новгородская область,2020,20.2,18.4,588.3,1039.45
Псковская область,2020,20.2,19.5,605.1,3.01
г. Санкт-Петербург,2020,30.0,13.1,5588.5,699.56
Республика Адыгея (Адыгея),2020,12.6,12.6,490.4,27.66
Республика Калмыкия,2020,14.9,11.2,268.9,0.17
Краснодарский край,2020,15.1,14.2,5815.6,1677.11
Астраханская область,2020,12.2,14.0,969.0,387.87
Волгоградская область,2020,17.2,15.6,2513.6,1334.15
Ростовская область,2020,9.7,15.3,4216.6,6585.89
Республика Дагестан,2020,17.3,6.3,3164.8,11.23
Республика Ингушетия,2020,19.8,3.9,504.0,0.0
Кабардино-Балкарская Республика,2020,5.5,9.8,900.6,15.6
Карачаево-Черкесская Республика,2020,14.8,10.7,470.3,26.46
Республика Северная Осетия — Алания,2020,17.6,12.4,690.8,0.11
Чеченская Республика,2020,6.3,6.3,1496.6,0.0
Ставропольский край,2020,21.6,12.6,2904.2,896.72
Республика Башкортостан,2020,22.5,14.7,4096.1,4926.53
Республика Марий Эл,2020,22.1,14.4,679.8,218.52
Республика Мордовия,2020,13.2,16.5,788.7,162.2
Республика Татарстан (Татарстан),2020,20.6,13.6,3997.7,5025.54
Удмуртская Республика,2020,30.8,14.4,1460.9,408.05
Чувашская Республика — Чувашия,2020,20.0,15.7,1194.8,353.87
Пермский край,2020,25.1,15.7,2550.7,1985.95
Кировская область,2020,20.0,17.9,1172.8,1014.08
Нижегородская область,2020,22.3,17.5,3144.5,1308.73
Оренбургская область,2020,13.0,16.8,1879.3,1814.87
Пензенская область,2020,20.0,17.6,1278.8,73.78
Самарская область,2020,25.5,16.5,3183.9,3570.09
Саратовская область,2020,17.2,16.4,2457.6,7073.43
Ульяновская область,2020,19.6,17.1,1207.1,624.17
Курганская область,2020,31.2,18.0,788.4,289.59
Свердловская область,2020,22.5,15.7,4289.4,9771.64
Тюменская область,2020,24.0,9.2,3796.4,9368.0
Ханты-Мансийский автономный округ — Югра,2020,24.7,7.6,1698.2,7716.3
Ямало-Ненецкий автономный округ,2020,27.3,6.5,508.8,311.93
Челябинская область,2020,27.6,15.9,3445.5,7227.89
Республика Алтай,2020,36.7,11.8,211.2,9.17
Республика Тыва,2020,36.2,9.3,333.7,11.4
Республика Хакасия,2020,20.5,13.9,536.3,580.91
Алтайский край,2020,19.2,17.2,2193.0,771.76
Красноярский край,2020,18.6,14.3,2862.4,2817.02
Иркутская область,2020,25.8,14.9,2380.8,2689.04
Кемеровская область — Кузбасс,2020,24.7,16.3,2622.3,4653.68
Новосибирская область,2020,22.5,15.3,2801.4,747.93
Омская область,2020,25.1,15.8,1878.1,694.44
Томская область,2020,20.7,13.4,1065.3,803.68
Республика Бурятия,2020,12.4,12.0,980.9,258.54
Республика Саха (Якутия),2020,16.1,9.2,987.1999999999999,1300.96
Забайкальский край,2020,13.1,14.2,1014.7,1220.92
Камчатский край,2020,32.8,13.5,293.3,10.2
Приморский край,2020,28.3,15.6,1858.2,1746.83
Хабаровский край,2020,25.6,15.7,1295.1,1519.39
Амурская область,2020,21.2,16.3,773.7,1796.88
Магаданская область,2020,19.1,12.7,137.3,406.07
Сахалинская область,2020,32.0,14.2,469.3,162.85
Еврейская автономная область,2020,25.2,16.3,152.6,20.36
Чукотский автономный округ,2020,35.2,10.86,47.6,149.39
Белгородская область,2021,21.8,18.2,1536.5,1847.16
Брянская область,2021,19.4,20.3,1164.6,22.59
Владимирская область,2021,26.8,21.2,1342.3,295.29
Воронежская область,2021,8.9,20.2,2302.6,5003.91
Ивановская область,2021,16.2,21.6,924.1,133.01
Калужская область,2021,25.5,18.3,1073.3,168.79
Костромская область,2021,18.7,21.6,578.0,729.53
Курская область,2021,12.4,21.5,1078.2,5716.49
Липецкая область,2021,17.9,20.6,1138.1,2336.73
Московская область,2021,18.0,14.8,8542.3,2373.65
Орловская область,2021,25.0,20.9,710.0,959.83
Рязанская область,2021,22.1,21.6,1098.6,1150.88
Смоленская область,2021,16.6,21.1,886.9,5138.82
Тамбовская область,2021,15.4,20.9,979.1,180.6
Тверская область,2021,21.5,21.5,1226.0,6319.18
Тульская область,2021,14.7,20.4,1496.7,2081.07
Ярославская область,2021,22.1,20.7,1205.7,338.15
г. Москва,2021,18.2,13.3,13015.1,4862.33
Республика Карелия,2021,59.8,23.2,532.4,1104.79
Республика Коми,2021,41.0,17.6,734.4,1305.41
Архангельская область,2021,41.2,19.3,1016.0,935.15
Ненецкий автономный округ,2021,45.9,12.8,41.4,12.77
Вологодская область,2021,29.4,18.4,1138.4,4295.9
Калининградская область,2021,25.4,15.6,1031.0,485.37
Ленинградская область,2021,13.8,16.1,2006.0,3623.31
Мурманская область,2021,29.3,17.2,665.2,953.23
Новгородская область,2021,20.8,22.5,581.6,1089.04
Псковская область,2021,21.6,22.3,596.9,2.99
г. Санкт-Петербург,2021,31.3,15.0,5607.9,779.36
Республика Адыгея (Адыгея),2021,15.5,14.8,498.3,27.66
Республика Калмыкия,2021,15.0,13.6,266.4,0.17
Краснодарский край,2021,15.8,16.5,5832.0,1779.62
Астраханская область,2021,13.1,16.9,957.8,471.42
Волгоградская область,2021,17.5,18.6,2492.8,1302.08
Ростовская область,2021,11.3,18.7,4192.3,6370.97
Республика Дагестан,2021,18.0,6.2,3186.9,10.63
Республика Ингушетия,2021,17.6,4.3,511.3,0.0
Кабардино-Балкарская Республика,2021,5.7,10.5,904.3,4.91
Карачаево-Черкесская Республика,2021,17.5,12.0,469.1,26.99
Республика Северная Осетия — Алания,2021,18.7,14.2,685.4,0.0
Чеченская Республика,2021,11.8,5.8,1514.6,0.0
Ставропольский край,2021,24.5,14.5,2902.5,853.24
Республика Башкортостан,2021,24.2,16.1,4091.6,5239.65
Республика Марий Эл,2021,21.9,16.6,676.4,232.65
Республика Мордовия,2021,10.1,18.4,781.4,164.73
Республика Татарстан (Татарстан),2021,20.2,15.1,4000.1,5325.41
Удмуртская Республика,2021,31.4,16.0,1448.9,397.02
