,Регион,Год,V_сточ_вод_млн_м3,Коэф_смерт_насел,Числ_насел,Оборот_вод_млн_м3,Инвест_в_ООС_норм
115,Белгородская область,2019,68.84,13.3,1553.0,1775.85,2.4866977791529874
116,Белгородская область,2020,65.9,15.5,1545.5,1814.76,4.6729746366025555
117,Белгородская область,2021,60.56,18.2,1536.5,1847.16,4.231133493376597
118,Белгородская область,2022,58.6,14.2,1514.5,1749.36,6.692958976157243
119,Белгородская область,2023,58.0,13.4,1500.7,1575.0,12.979801311889315
120,Брянская область,2000,100.0,18.2,1407.9,102.0,2.2291555952211923
121,Брянская область,2001,99.0,17.9,1391.4,95.0,1.5700275321069534
122,Брянская область,2002,96.0,19.2,1375.0,91.0,0.23197883025945776
123,Брянская область,2003,94.0,19.1,1360.2,106.0,0.8264474156927983
124,Брянская область,2004,92.0,19.1,1344.1,63.0,0.4427940098111106
125,Брянская область,2005,89.0,19.8,1327.7,60.0,0.13863669419108351
126,Брянская область,2006,96.0,18.7,1312.7,116.0,0.050158099107921524
127,Брянская область,2007,94.0,17.9,1303.3,117.0,0.0
128,Брянская область,2008,85.0,17.8,1294.3,113.0,0.19132288150140186
129,Брянская область,2009,83.0,17,1286.5,61.0,0.0
130,Брянская область,2010,78.0,17,1275.3,79.0,0.0
131,Брянская область,2011,75.0,16.1,1263.7,102.0,0.0
132,Брянская область,2012,70.83,16.2,1252.2,57.19,0.3744982461215781
133,Брянская область,2013,67.78,15.9,1240.6,38.55,1.286953970518827
134,Брянская область,2014,61.56,16.1,1230.3,35.07,0.029519319189329044
135,Брянская область,2015,57.6,15.9,1223.1,29.96,0.0
136,Брянская область,2016,57.92,15.6,1218.0,28.5,0.0
137,Брянская область,2017,55.12,15.3,1208.2,27.48,0.0
138,Брянская область,2018,53.78,15.2,1197.1,28.5,0.0
139,Брянская область,2019,50.75,14.8,1189.2,27.75,0.0
140,Брянская область,2020,49.69,17.0,1179.1,24.79,0.0
141,Брянская область,2021,51.4,20.3,1164.6,22.59,0.0
142,Брянская область,2022,52.06,15.6,1152.5,20.2,0.0
143,Брянская область,2023,53.0,14.3,1142.4,20.0,0.0909782784475975
144,Владимирская область,2000,182.0,19.1,1558.0,412.0,0.7486711672830029
145,Владимирская область,2001,182.0,19.7,1539.2,423.0,0.4456475755429538
146,Владимирская область,2002,185.0,20.8,1520.1,343.0,0.8377181050796367
147,Владимирская область,2003,174.0,20.7,1509.6,324.0,0.735302967068164
148,Владимирская область,2004,169.0,20.1,1497.6,339.0,0.38585308663603163
149,Владимирская область,2005,155.0,20.2,1486.5,338.0,0.39597914567199066
150,Владимирская область,2006,147.0,19.1,1475.9,330.0,0.17702675518004427
151,Владимирская область,2007,141.0,18.5,1466.8,337.0,1.387589235185425
152,Владимирская область,2008,140.0,18.5,1457.9,316.0,0.34119422540005256
153,Владимирская область,2009,129.0,18.2,1449.8,318.0,0.3432107482001845
154,Владимирская область,2010,129.0,18,1441.1,248.0,0.5349947855304699
155,Владимирская область,2011,126.0,17.1,1433.6,314.0,1.1357133724264286
156,Владимирская область,2012,123.74,16.7,1425.0,312.27,2.08265126813431
157,Владимирская область,2013,120.02,16.6,1418.2,247.96,1.9318102513228805
158,Владимирская область,2014,110.49,16.5,1412.1,247.5,1.6477963764409527
159,Владимирская область,2015,108.55,16.4,1405.5,258.46,1.468515956505645
160,Владимирская область,2016,108.81,16.4,1399.8,250.89,0.83821920436529
161,Владимирская область,2017,104.52,15.6,1390.2,233.82,1.018200988242282
162,Владимирская область,2018,98.55,15.9,1379.4,259.43,0.7236414224342841
163,Владимирская область,2019,94.42,15.4,1373.7,254.16,2.783869978602911
164,Владимирская область,2020,95.02,18.1,1359.0,233.38,0.6193196652132628
165,Владимирская область,2021,94.26,21.2,1342.3,295.29,0.4872490308474758
166,Владимирская область,2022,91.32,16.8,1325.5,328.86,0.1853014463726908
167,Владимирская область,2023,90.0,15.5,1309.9,321.0,0.0694278803733489
168,Волгоградская область,2000,217.0,15.2,2725.4,1774.0,67.70354932245625
169,Волгоградская область,2001,212.0,15.6,2709.6,1799.0,26.652255133581043
170,Волгоградская область,2002,206.0,15.9,2694.2,1706.0,3.6169030066742573
171,Волгоградская область,2003,201.0,16.1,2672.4,1768.0,2.3533651267044102
