,Регион,Год,Объем_сточных_вод_млн_м3,Инвестиции_в_ООС_тыс_руб,ВРП_млн_руб
210,Республика Мордовия,2002,56.0,113938.0,27508.0
211,Республика Татарстан (Татарстан),2002,534.0,1047238.2999999999,250596.0
212,Удмуртская Республика,2002,25.0,330542.8,78346.3
213,Чувашская Республика — Чувашия,2002,123.0,164256.40000000002,37180.6
214,Пермский край,2002,378.0,1592975.0,178091.0
215,Кировская область,2002,171.0,75783.7,49974.2
216,Нижегородская область,2002,468.0,463243.0,170826.5
217,Оренбургская область,2002,154.0,655120.2,94182.5
218,Пензенская область,2002,148.0,31290.0,41623.4
219,Самарская область,2002,500.0,651490.0,206320.2
220,Саратовская область,2002,299.0,479905.0,97326.4
221,Ульяновская область,2002,127.0,148933.8,45677.0
222,Курганская область,2002,62.0,80515.6,29940.8
223,Свердловская область,2002,816.0,1775507.0,234866.4
224,Ханты-Мансийский автономный округ — Югра,2002,35.0,4023402.0,552483.5
225,Ямало-Ненецкий автономный округ,2002,33.0,1166899.0,262447.4
226,Тюменская область,2002,76.0,5481415.0,83791.5
227,Челябинская область,2002,749.0,2202875.5999999996,172446.4
228,Республика Алтай,2002,0.42,0.0,5310.6
229,Республика Тыва,2002,9.0,54087.4,6847.4
230,Республика Хакасия,2002,54.0,55882.0,25423.3
231,Алтайский край,2002,36.0,67466.0,73107.4
232,Красноярский край,2002,611.0,2367420.4000000004,230994.9
233,Иркутская область,2002,820.0,1008736.0,140195.9
234,Кемеровская область — Кузбасс,2002,759.0,257065.8,136156.7
235,Новосибирская область,2002,76.0,232591.0,123084.5
236,Омская область,2002,226.0,962225.8999999999,92628.7
237,Томская область,2002,19.0,810140.2000000001,75547.0
238,Республика Бурятия,2002,70.0,176827.1,37884.5
239,Республика Саха (Якутия),2002,83.0,731485.2,115117.1
240,Забайкальский край,2002,77.0,225621.15999999997,44555.8
241,Камчатский край,2002,35.0,52143.0,25881.9
242,Приморский край,2002,418.0,151441.0,96832.3
243,Хабаровский край,2002,220.0,194957.0,101048.6
244,Амурская область,2002,95.0,241408.0,45717.5
245,Магаданская область,2002,42.0,5118.0,22374.8
246,Сахалинская область,2002,54.0,19488.0,47139.8
247,Еврейская автономная область,2002,12.0,80144.0,6838.5
248,Чукотский автономный округ,2002,6.0,0.0,10155.4
249,Белгородская область,2003,10.0,80802.0,76054.5
250,Брянская область,2003,94.0,36116.0,43700.3
251,Владимирская область,2003,174.0,45455.4,61818.6
252,Воронежская область,2003,173.0,90184.2,100143.3
253,Ивановская область,2003,158.0,48616.0,33214.6
254,Калужская область,2003,108.0,155619.2,48792.7
255,Костромская область,2003,64.0,152210.0,29692.1
256,Курская область,2003,35.0,56870.0,56383.1
257,Липецкая область,2003,126.0,714760.0,96241.9
258,Московская область,2003,626.0,1186984.2,412089.3
259,Орловская область,2003,79.0,25222.4,42073.3
260,Рязанская область,2003,19.0,220546.0,59607.2
261,Смоленская область,2003,91.0,39593.8,49085.7
262,Тамбовская область,2003,55.0,111694.0,46877.7
263,Тверская область,2003,86.0,383711.0,68805.3
264,Тульская область,2003,259.0,206432.2,72258.0
265,Ярославская область,2003,306.0,321737.0,92073.4
266,г. Москва,2003,2015.0,7335373.0,2188231.5
267,Республика Карелия,2003,194.0,463180.0,46588.9
268,Республика Коми,2003,141.0,517844.0,107149.0
269,Ненецкий автономный округ,2003,1.21,35885.0,25040.6
270,Архангельская область,2003,477.0,531838.0,78910.70000000001
271,Вологодская область,2003,205.0,2670047.23,107544.6
272,Калининградская область,2003,150.0,359959.0,46757.7
273,Ленинградская область,2003,387.0,4034230.7,121222.3
